Keyword,Currency,Segmentation,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic average position,Organic impression share,In Account,Searches: Dec 2020,Searches: Jan 2021,Searches: Feb 2021,Searches: Mar 2021,Searches: Apr 2021,Searches: May 2021,Searches: Jun 2021,Searches: Jul 2021,Searches: Aug 2021,Searches: Sep 2021,Searches: Oct 2021,Searches: Nov 2021
gta v desarrolladores,USD,,5000.0,0%,900%,Baja,0,,,,,,,,,,,,,,,,,,
programacion android,USD,,5000.0,0%,0%,Media,48,"0,34","17,25",,,,,,,,,,,,,,,,
programacion app,USD,,5000.0,0%,0%,Media,49,"0,37","4,00",,,,,,,,,,,,,,,,
programacion de videojuegos,USD,,5000.0,0%,0%,Media,41,"0,29","1,14",,,,,,,,,,,,,,,,
programacion en android,USD,,5000.0,0%,0%,Media,48,"0,34","17,25",,,,,,,,,,,,,,,,
programacion front end,USD,,5000.0,0%,900%,Media,38,"0,25","1,73",,,,,,,,,,,,,,,,
programacion web,USD,,5000.0,0%,0%,Media,35,"0,33","1,58",,,,,,,,,,,,,,,,
programación web,USD,,5000.0,0%,0%,Media,35,"0,33","1,58",,,,,,,,,,,,,,,,
programador freelance,USD,,5000.0,0%,0%,Media,64,"0,29","1,94",,,,,,,,,,,,,,,,
programador frontend,USD,,5000.0,0%,900%,Media,38,"0,25","1,73",,,,,,,,,,,,,,,,
programador videojuegos,USD,,5000.0,0%,0%,Media,43,"0,32","1,46",,,,,,,,,,,,,,,,
programador web,USD,,5000.0,0%,0%,Media,52,"0,37","1,78",,,,,,,,,,,,,,,,
programadores de videojuegos,USD,,5000.0,0%,0%,Media,37,"0,24","1,01",,,,,,,,,,,,,,,,
programadores web,USD,,5000.0,0%,0%,Media,52,"0,37","1,78",,,,,,,,,,,,,,,,
que es desarrollador web,USD,,5000.0,0%,0%,Baja,23,"0,16","1,16",,,,,,,,,,,,,,,,
aeat desarrolladores,USD,,500.0,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,
ajax programacion web,USD,,500.0,0%,0%,Baja,6,"0,30","1,62",,,,,,,,,,,,,,,,
amazon para desarrolladores,USD,,500.0,0%,900%,Baja,26,"0,20","0,78",,,,,,,,,,,,,,,,
android studio desde cero,USD,,500.0,0%,0%,Baja,17,"0,29","1,15",,,,,,,,,,,,,,,,
aplicaciones multiplataforma,USD,,500.0,-90%,0%,Baja,17,"0,42","2,00",,,,,,,,,,,,,,,,
aplicaciones web con python,USD,,500.0,0%,0%,Baja,22,"0,23","1,19",,,,,,,,,,,,,,,,
app inventor desarrollador,USD,,500.0,0%,∞,Baja,1,,,,,,,,,,,,,,,,,,
app multiplataforma,USD,,500.0,0%,0%,Baja,15,"0,19","1,09",,,,,,,,,,,,,,,,
apps multiplataforma,USD,,500.0,0%,0%,Baja,15,"0,19","1,09",,,,,,,,,,,,,,,,
backend programacion,USD,,500.0,0%,900%,Baja,23,"0,21","1,24",,,,,,,,,,,,,,,,
bootstrap desarrollador,USD,,500.0,0%,∞,Baja,1,"0,34","1,06",,,,,,,,,,,,,,,,
brawl stars desarrollador,USD,,500.0,0%,900%,Baja,0,,,,,,,,,,,,,,,,,,
carrera de desarrollador web,USD,,500.0,0%,0%,Alta,70,"0,26","1,27",,,,,,,,,,,,,,,,
carrera de software,USD,,500.0,0%,0%,Baja,33,"0,14","0,84",,,,,,,,,,,,,,,,
carrera software,USD,,500.0,-90%,0%,Media,43,"0,15","0,91",,,,,,,,,,,,,,,,
coderhouse full stack,USD,,500.0,0%,900%,Media,64,"0,35","1,35",,,,,,,,,,,,,,,,
construcción de software,USD,,500.0,0%,0%,Baja,14,"0,24","1,09",,,,,,,,,,,,,,,,
creamos tu app,USD,,500.0,0%,0%,Alta,69,"0,56","7,65",,,,,,,,,,,,,,,,
cuanto gana un desarrollador de software en colombia,USD,,500.0,0%,0%,Baja,19,"0,20","0,86",,,,,,,,,,,,,,,,
cuanto gana un desarrollador de software en estados unidos,USD,,500.0,0%,0%,Baja,8,"0,16","0,85",,,,,,,,,,,,,,,,
cuanto gana un desarrollador web en argentina,USD,,500.0,0%,0%,Media,58,"0,18","0,57",,,,,,,,,,,,,,,,
cuenta desarrollador apple,USD,,500.0,0%,0%,Baja,1,"0,35","1,92",,,,,,,,,,,,,,,,
cuenta desarrollador google play,USD,,500.0,0%,0%,Baja,16,"0,27","326,98",,,,,,,,,,,,,,,,
desarrollador abap,USD,,500.0,0%,0%,Baja,19,"0,19","1,25",,,,,,,,,,,,,,,,
desarrollador angular,USD,,500.0,0%,0%,Baja,31,"0,27","2,15",,,,,,,,,,,,,,,,
desarrollador aplicaciones,USD,,500.0,0%,0%,Media,51,"0,51","5,47",,,,,,,,,,,,,,,,
desarrollador aplicaciones web,USD,,500.0,-90%,0%,Media,44,"0,72","3,41",,,,,,,,,,,,,,,,
desarrollador app movil,USD,,500.0,0%,0%,Media,61,"0,75","6,31",,,,,,,,,,,,,,,,
desarrollador apple,USD,,500.0,0%,0%,Baja,8,"0,34","2,83",,,,,,,,,,,,,,,,
desarrollador back end,USD,,500.0,0%,0%,Media,34,"0,28","1,61",,,,,,,,,,,,,,,,
desarrollador bi,USD,,500.0,0%,900%,Baja,32,"0,25","1,53",,,,,,,,,,,,,,,,
desarrollador cobol,USD,,500.0,-90%,0%,Baja,28,"0,18","1,00",,,,,,,,,,,,,,,,
desarrollador de apps moviles,USD,,500.0,0%,0%,Media,62,"0,61","8,45",,,,,,,,,,,,,,,,
desarrollador de linux,USD,,500.0,0%,0%,Baja,4,"0,11","1,84",,,,,,,,,,,,,,,,
desarrollador de software sena,USD,,500.0,0%,0%,Baja,30,"0,17","0,39",,,,,,,,,,,,,,,,
desarrollador de software sueldo,USD,,500.0,0%,0%,Baja,27,"0,17","0,86",,,,,,,,,,,,,,,,
desarrollador de web,USD,,500.0,0%,0%,Media,48,"0,39","2,07",,,,,,,,,,,,,,,,
desarrollador de windows,USD,,500.0,0%,0%,Baja,1,"0,17","0,40",,,,,,,,,,,,,,,,
desarrollador empresarial no confiable,USD,,500.0,0%,0%,Baja,7,"0,25","1,01",,,,,,,,,,,,,,,,
desarrollador empresarial no fiable,USD,,500.0,0%,0%,Baja,3,"0,48","1,16",,,,,,,,,,,,,,,,
desarrollador en excel,USD,,500.0,0%,0%,Baja,4,"0,25","1,46",,,,,,,,,,,,,,,,
desarrollador en ingles,USD,,500.0,0%,0%,Baja,2,"0,16","1,56",,,,,,,,,,,,,,,,
desarrollador flutter,USD,,500.0,0%,0%,Baja,22,"0,42","3,28",,,,,,,,,,,,,,,,
desarrollador freelance,USD,,500.0,0%,0%,Media,55,"0,25","1,72",,,,,,,,,,,,,,,,
desarrollador front end jr,USD,,500.0,0%,0%,Baja,21,"0,10","1,00",,,,,,,,,,,,,,,,
desarrollador front end junior,USD,,500.0,0%,0%,Baja,21,"0,10","1,00",,,,,,,,,,,,,,,,
desarrollador front end sueldo,USD,,500.0,0%,0%,Media,35,"0,18","1,00",,,,,,,,,,,,,,,,
desarrollador full stack sueldo,USD,,500.0,0%,0%,Media,54,"0,26","1,44",,,,,,,,,,,,,,,,
desarrollador grafico,USD,,500.0,0%,0%,Baja,3,"0,14","0,91",,,,,,,,,,,,,,,,
desarrollador ios,USD,,500.0,0%,0%,Baja,30,"0,33","2,30",,,,,,,,,,,,,,,,
desarrollador it,USD,,500.0,0%,0%,Media,34,"0,19","0,87",,,,,,,,,,,,,,,,
desarrollador java curso,USD,,500.0,0%,0%,Alta,86,"0,40","2,07",,,,,,,,,,,,,,,,
desarrollador java junior,USD,,500.0,0%,0%,Baja,12,"0,23","1,05",,,,,,,,,,,,,,,,
desarrollador javascript,USD,,500.0,0%,0%,Media,41,"0,34","1,37",,,,,,,,,,,,,,,,
desarrollador jr,USD,,500.0,0%,0%,Baja,14,"0,16","1,00",,,,,,,,,,,,,,,,
desarrollador junior,USD,,500.0,0%,0%,Baja,15,"0,11","0,66",,,,,,,,,,,,,,,,
desarrollador junior sin experiencia,USD,,500.0,0%,0%,Baja,18,"0,09","0,70",,,,,,,,,,,,,,,,
desarrollador linux,USD,,500.0,0%,0%,Baja,3,"0,12","0,62",,,,,,,,,,,,,,,,
desarrollador magento,USD,,500.0,0%,0%,Media,53,"0,61","6,76",,,,,,,,,,,,,,,,
desarrollador mobile,USD,,500.0,0%,0%,Media,41,"0,32","1,65",,,,,,,,,,,,,,,,
desarrollador movil,USD,,500.0,0%,900%,Baja,20,"0,34","1,68",,,,,,,,,,,,,,,,
desarrollador multimedia,USD,,500.0,0%,0%,Baja,5,"0,16","0,59",,,,,,,,,,,,,,,,
desarrollador net,USD,,500.0,0%,0%,Baja,32,"0,22","1,09",,,,,,,,,,,,,,,,
desarrollador no confiable iphone,USD,,500.0,0%,0%,Baja,1,"0,32","0,91",,,,,,,,,,,,,,,,
desarrollador no identificado mac,USD,,500.0,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,
desarrollador node js,USD,,500.0,-90%,0%,Baja,30,"0,32","5,81",,,,,,,,,,,,,,,,
desarrollador o programador,USD,,500.0,0%,0%,Baja,23,"0,20","0,97",,,,,,,,,,,,,,,,
desarrollador php,USD,,500.0,0%,0%,Media,36,"0,24","1,25",,,,,,,,,,,,,,,,
desarrollador play store,USD,,500.0,-90%,0%,Baja,2,"0,06","1,70",,,,,,,,,,,,,,,,
desarrollador python,USD,,500.0,0%,0%,Media,39,"0,31","1,17",,,,,,,,,,,,,,,,
desarrollador python junior,USD,,500.0,0%,900%,Baja,15,"0,14","0,81",,,,,,,,,,,,,,,,
desarrollador react,USD,,500.0,0%,0%,Media,43,"0,27","2,09",,,,,,,,,,,,,,,,
desarrollador rpa,USD,,500.0,0%,0%,Media,41,"0,28","1,60",,,,,,,,,,,,,,,,
desarrollador salesforce,USD,,500.0,0%,0%,Media,47,"0,57","4,69",,,,,,,,,,,,,,,,
desarrollador sap,USD,,500.0,0%,0%,Baja,33,"0,19","1,73",,,,,,,,,,,,,,,,
desarrollador senior,USD,,500.0,0%,0%,Baja,11,"0,22","1,00",,,,,,,,,,,,,,,,
desarrollador sin experiencia,USD,,500.0,0%,0%,Baja,17,"0,24","1,00",,,,,,,,,,,,,,,,
desarrollador sinonimo,USD,,500.0,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,
desarrollador software,USD,,500.0,0%,0%,Media,50,"0,34","2,80",,,,,,,,,,,,,,,,
desarrollador sql,USD,,500.0,0%,900%,Baja,26,"0,20","1,16",,,,,,,,,,,,,,,,
desarrollador trainee,USD,,500.0,0%,0%,Media,41,"0,22","1,19",,,,,,,,,,,,,,,,
desarrollador vs programador,USD,,500.0,0%,0%,Baja,16,"0,16","0,82",,,,,,,,,,,,,,,,
desarrollador web freelance,USD,,500.0,0%,0%,Media,64,"0,34","2,76",,,,,,,,,,,,,,,,
desarrollador web front end,USD,,500.0,0%,0%,Media,43,"0,39","2,95",,,,,,,,,,,,,,,,
desarrollador web frontend,USD,,500.0,0%,0%,Media,43,"0,39","2,95",,,,,,,,,,,,,,,,
desarrollador web jr,USD,,500.0,0%,0%,Baja,16,"0,26","1,00",,,,,,,,,,,,,,,,
desarrollador web junior,USD,,500.0,0%,0%,Baja,21,"0,25","1,39",,,,,,,,,,,,,,,,
desarrollador web junior sin experiencia,USD,,500.0,0%,900%,Baja,26,"0,21","1,00",,,,,,,,,,,,,,,,
desarrollador web madrid,USD,,500.0,0%,0%,Media,44,"2,75","7,16",,,,,,,,,,,,,,,,
desarrollador web salario,USD,,500.0,0%,0%,Baja,15,"0,24","1,30",,,,,,,,,,,,,,,,
desarrollador web sin experiencia,USD,,500.0,0%,0%,Media,38,"0,25","1,14",,,,,,,,,,,,,,,,
desarrollador web sueldo,USD,,500.0,0%,0%,Media,34,"0,20","1,00",,,,,,,,,,,,,,,,
desarrolladores de google,USD,,500.0,0%,0%,Baja,9,"0,22","1,02",,,,,,,,,,,,,,,,
desarrolladores de sitios web,USD,,500.0,0%,0%,Media,51,"0,49","2,89",,,,,,,,,,,,,,,,
desarrolladores informaticos,USD,,500.0,0%,0%,Baja,17,"0,29","1,59",,,,,,,,,,,,,,,,
diseño aplicaciones,USD,,500.0,0%,0%,Baja,31,"0,34","4,00",,,,,,,,,,,,,,,,
diseño aplicaciones moviles,USD,,500.0,0%,0%,Media,51,"0,49","5,14",,,,,,,,,,,,,,,,
diseño aplicaciones web,USD,,500.0,0%,0%,Baja,32,"0,58","2,87",,,,,,,,,,,,,,,,
diseño de aplicaciones moviles,USD,,500.0,0%,0%,Media,47,"0,34","4,62",,,,,,,,,,,,,,,,
diseño de aplicaciones web,USD,,500.0,0%,0%,Baja,26,"0,34","2,92",,,,,,,,,,,,,,,,
diseño de software carrera,USD,,500.0,0%,900%,Media,51,"0,18","0,77",,,,,,,,,,,,,,,,
diseño de software pdf,USD,,500.0,900%,0%,Baja,5,"0,06","0,32",,,,,,,,,,,,,,,,
diseño web y movil,USD,,500.0,0%,0%,Baja,17,"0,28","1,38",,,,,,,,,,,,,,,,
donde estudiar desarrollador de software,USD,,500.0,0%,0%,Alta,70,"0,25","1,12",,,,,,,,,,,,,,,,
donde estudiar desarrollador web,USD,,500.0,0%,0%,Alta,67,"0,39","1,66",,,,,,,,,,,,,,,,
flutter programacion,USD,,500.0,0%,0%,Baja,29,"0,23","2,41",,,,,,,,,,,,,,,,
freelance programador web,USD,,500.0,0%,0%,Media,66,"0,56","3,93",,,,,,,,,,,,,,,,
google desarrollador,USD,,500.0,0%,0%,Baja,12,"0,17","1,25",,,,,,,,,,,,,,,,
grupo desarrollador 3000,USD,,500.0,0%,0%,Baja,1,"0,14","0,36",,,,,,,,,,,,,,,,
ifcd0210,USD,,500.0,0%,0%,Baja,3,"0,49","1,27",,,,,,,,,,,,,,,,
jira desarrollador,USD,,500.0,0%,∞,Baja,1,"0,35","1,49",,,,,,,,,,,,,,,,
moodle desarrollador,USD,,500.0,0%,∞,Baja,8,,,,,,,,,,,,,,,,,,
prezi desarrollador,USD,,500.0,0%,9900%,Baja,0,,,,,,,,,,,,,,,,,,
programacion backend,USD,,500.0,0%,0%,Media,40,"0,21","1,23",,,,,,,,,,,,,,,,
programacion de aplicaciones moviles,USD,,500.0,0%,0%,Media,62,"0,47","8,70",,,,,,,,,,,,,,,,
programacion de app,USD,,500.0,0%,0%,Media,53,"0,55","6,48",,,,,,,,,,,,,,,,
programacion de apps,USD,,500.0,0%,0%,Media,53,"0,55","6,48",,,,,,,,,,,,,,,,
programacion de dispositivos moviles,USD,,500.0,0%,0%,Baja,8,"0,27","1,64",,,,,,,,,,,,,,,,
programacion de paginas web,USD,,500.0,0%,0%,Media,48,"0,29","1,46",,,,,,,,,,,,,,,,
programacion full stack,USD,,500.0,0%,0%,Alta,79,"0,42","2,20",,,,,,,,,,,,,,,,
programacion ios,USD,,500.0,0%,0%,Media,40,"0,29","1,07",,,,,,,,,,,,,,,,
programacion movil,USD,,500.0,0%,0%,Baja,18,"0,31","1,18",,,,,,,,,,,,,,,,
programacion multiplataforma,USD,,500.0,0%,900%,Baja,12,"0,44","1,43",,,,,,,,,,,,,,,,
programacion paginas web,USD,,500.0,0%,0%,Media,51,"0,43","3,45",,,,,,,,,,,,,,,,
programacion para android,USD,,500.0,0%,0%,Media,58,"0,29","5,75",,,,,,,,,,,,,,,,
programacion para videojuegos,USD,,500.0,0%,900%,Media,56,"0,23","0,94",,,,,,,,,,,,,,,,
programacion software,USD,,500.0,-90%,0%,Media,34,"0,19","1,45",,,,,,,,,,,,,,,,
programacion web con python,USD,,500.0,0%,0%,Media,47,"0,27","1,48",,,,,,,,,,,,,,,,
programacion web desde cero,USD,,500.0,0%,0%,Alta,71,"0,38","2,33",,,,,,,,,,,,,,,,
programacion web full stack,USD,,500.0,0%,0%,Alta,87,"0,38","2,09",,,,,,,,,,,,,,,,
programacion y diseño web,USD,,500.0,0%,0%,Media,63,"0,37","1,74",,,,,,,,,,,,,,,,
programación web full stack,USD,,500.0,0%,0%,Alta,87,"0,38","2,09",,,,,,,,,,,,,,,,
programador android,USD,,500.0,0%,0%,Media,56,"0,32","1,51",,,,,,,,,,,,,,,,
programador backend,USD,,500.0,0%,0%,Baja,32,"0,26","1,23",,,,,,,,,,,,,,,,
programador de aplicaciones,USD,,500.0,0%,0%,Media,44,"0,42","4,00",,,,,,,,,,,,,,,,
programador de aplicaciones moviles,USD,,500.0,0%,0%,Alta,72,"0,55","4,00",,,,,,,,,,,,,,,,
programador de apps,USD,,500.0,0%,0%,Alta,71,"0,66","5,30",,,,,,,,,,,,,,,,
programador de paginas web,USD,,500.0,0%,0%,Alta,80,"0,48","2,92",,,,,,,,,,,,,,,,
programador de software carrera,USD,,500.0,0%,0%,Media,66,"0,18","0,74",,,,,,,,,,,,,,,,
programador frontend junior,USD,,500.0,0%,900%,Baja,25,"0,14","0,91",,,,,,,,,,,,,,,,
programador full stack junior,USD,,500.0,0%,900%,Alta,70,"0,30","1,43",,,,,,,,,,,,,,,,
programador laravel,USD,,500.0,0%,0%,Media,40,"0,27","1,48",,,,,,,,,,,,,,,,
programador web carrera,USD,,500.0,0%,0%,Alta,80,"0,33","1,29",,,,,,,,,,,,,,,,
programador web full stack,USD,,500.0,0%,0%,Alta,77,"0,40","2,17",,,,,,,,,,,,,,,,
programador web full stack junior,USD,,500.0,-90%,∞,Alta,85,"0,21","1,23",,,,,,,,,,,,,,,,
python aplicaciones,USD,,500.0,0%,0%,Baja,18,"0,17","0,72",,,,,,,,,,,,,,,,
que es desarrollador front end,USD,,500.0,0%,900%,Baja,22,"0,13","1,29",,,,,,,,,,,,,,,,
react desarrollador,USD,,500.0,0%,∞,Baja,5,"0,44","1,92",,,,,,,,,,,,,,,,
software agil,USD,,500.0,0%,900%,Baja,32,"0,23","2,55",,,,,,,,,,,,,,,,
software personalizado,USD,,500.0,0%,0%,Baja,33,"0,37","1,89",,,,,,,,,,,,,,,,
stack programacion,USD,,500.0,0%,0%,Baja,5,"0,13","0,40",,,,,,,,,,,,,,,,
visual studio code desarrollador,USD,,500.0,-90%,∞,Baja,1,"0,11","0,92",,,,,,,,,,,,,,,,
wordpress desarrollador,USD,,500.0,0%,900%,Baja,21,"0,44","2,87",,,,,,,,,,,,,,,,
a&l desarrolladora,USD,,50.0,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,
acamica full stack,USD,,50.0,0%,0%,Alta,70,"0,38","1,53",,,,,,,,,,,,,,,,
angular desarrollador,USD,,50.0,0%,∞,Baja,3,"0,80","2,90",,,,,,,,,,,,,,,,
aplicaciones de javascript,USD,,50.0,0%,0%,Baja,4,,,,,,,,,,,,,,,,,,
aplicaciones full stack javascript trainee,USD,,50.0,900%,900%,Media,55,"0,45","1,55",,,,,,,,,,,,,,,,
aplicaciones moviles con python,USD,,50.0,0%,0%,Baja,26,"0,24","0,61",,,,,,,,,,,,,,,,
barrio w desarrollador,USD,,50.0,0%,0%,Baja,29,"0,28","0,58",,,,,,,,,,,,,,,,
brainly desarrollador,USD,,50.0,∞,∞,Baja,0,,,,,,,,,,,,,,,,,,
carrera full stack,USD,,50.0,0%,0%,Alta,83,"0,33","1,84",,,,,,,,,,,,,,,,
carrera full stack developer,USD,,50.0,0%,0%,Alta,90,"0,52","3,93",,,,,,,,,,,,,,,,
competencias de un desarrollador de software,USD,,50.0,0%,0%,Baja,13,"0,18","0,99",,,,,,,,,,,,,,,,
cual es el desarrollador de android,USD,,50.0,0%,0%,Baja,4,,,,,,,,,,,,,,,,,,
cuando los desarrolladores intentan crear sus propias aplicaciones de seguridad,USD,,50.0,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,
cuanto gana desarrollador de software,USD,,50.0,0%,0%,Baja,12,"0,17","0,38",,,,,,,,,,,,,,,,
cuanto gana desarrollador web,USD,,50.0,0%,0%,Media,35,"0,16","0,98",,,,,,,,,,,,,,,,
cuenta desarrollador apple gratis,USD,,50.0,0%,0%,Baja,1,,,,,,,,,,,,,,,,,,
cuenta desarrollador google,USD,,50.0,0%,-90%,Baja,15,"0,53","161,46",,,,,,,,,,,,,,,,
cuenta desarrollador microsoft,USD,,50.0,0%,0%,Baja,1,,,,,,,,,,,,,,,,,,
cuenta desarrollador oculus,USD,,50.0,0%,∞,Baja,3,,,,,,,,,,,,,,,,,,
cuenta desarrollador samsung smart tv,USD,,50.0,0%,0%,Baja,4,,,,,,,,,,,,,,,,,,
cuenta desarrollador twitter,USD,,50.0,0%,0%,Baja,4,,,,,,,,,,,,,,,,,,
de que se encarga un desarrollador web,USD,,50.0,∞,∞,Baja,13,"0,22","0,96",,,,,,,,,,,,,,,,
desarrollador 20,USD,,50.0,0%,∞,Alta,100,,,,,,,,,,,,,,,,,,
desarrollador 3000,USD,,50.0,0%,0%,Baja,5,,,,,,,,,,,,,,,,,,
desarrollador 3d,USD,,50.0,0%,0%,Baja,21,"0,13","1,30",,,,,,,,,,,,,,,,
desarrollador 5 estrellas,USD,,50.0,0%,0%,Baja,10,,,,,,,,,,,,,,,,,,
desarrollador a full stack,USD,,50.0,0%,∞,Media,61,"0,83","3,87",,,,,,,,,,,,,,,,
desarrollador android 10,USD,,50.0,0%,0%,Baja,21,"0,09","0,72",,,,,,,,,,,,,,,,
desarrollador android 9,USD,,50.0,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,
desarrollador backend sueldo,USD,,50.0,900%,900%,Media,35,"0,20","1,03",,,,,,,,,,,,,,,,
desarrollador backend y frontend,USD,,50.0,0%,0%,Baja,16,"0,20","1,18",,,,,,,,,,,,,,,,
desarrollador big data,USD,,50.0,0%,0%,Media,40,"0,65","3,53",,,,,,,,,,,,,,,,
desarrollador big data funciones,USD,,50.0,0%,0%,Baja,22,"0,23","0,96",,,,,,,,,,,,,,,,
desarrollador c,USD,,50.0,0%,0%,Baja,16,"0,19","0,96",,,,,,,,,,,,,,,,
desarrollador c#,USD,,50.0,0%,-90%,Baja,19,"0,29","1,22",,,,,,,,,,,,,,,,
desarrollador c++,USD,,50.0,0%,0%,Baja,25,"0,14","0,96",,,,,,,,,,,,,,,,
desarrollador carrera,USD,,50.0,0%,900%,Media,48,"0,26","1,10",,,,,,,,,,,,,,,,
desarrollador chrome,USD,,50.0,0%,0%,Baja,5,,,,,,,,,,,,,,,,,,
desarrollador cloud,USD,,50.0,0%,0%,Media,44,"0,26","1,79",,,,,,,,,,,,,,,,
desarrollador confianza iphone,USD,,50.0,0%,0%,Baja,2,,,,,,,,,,,,,,,,,,
desarrollador de aplicaciones sueldo,USD,,50.0,0%,0%,Media,42,"0,28","1,94",,,,,,,,,,,,,,,,
desarrollador de backend,USD,,50.0,0%,900%,Baja,27,"0,25","1,48",,,,,,,,,,,,,,,,
